id,ano,produto,volume,categoria_produto,subcategoria_produto,nivel_produto,eh_agregado
1,2009,VINHO DE MESA,205418206,Vinho,Vinho de Mesa,1,True
2,2009,Tinto,164143454,Vinho,Vinho de Mesa,3,False
3,2009,Branco,39211278,Vinho,Vinho de Mesa,3,False
4,2009,Rosado,2063474,Vinho,Vinho de Mesa,3,False
5,2009,VINHO FINO DE MESA (VINIFERA),39900568,Vinho,Vinifera,1,True
6,2009,Tinto,18209043,Vinho,Vinho de Mesa,3,False
7,2009,Branco,21366975,Vinho,Vinho de Mesa,3,False
8,2009,Rosado,324550,Vinho,Vinho de Mesa,3,False
9,2009,SUCO,39715098,Suco,Suco de Uva,1,True
10,2009,Suco de uva integral,16034003,Suco,Suco de Uva,3,False
11,2009,Suco de uva concentrado,23006457,Suco,Suco de Uva,3,False
12,2009,Suco de uva adoçado,674638,Suco,Suco de Uva,3,False
13,2009,Suco de uva orgânico,0,Suco,Suco de Uva,3,False
14,2009,Suco de uva reconstituído,0,Suco,Suco de Uva,3,False
15,2009,DERIVADOS,56787892,Derivados,Derivados Industriais,1,True
16,2009,Espumante,0,Espumante,Produto Final,3,False
17,2009,Espumante moscatel,1190500,Espumante,Produto Final,3,False
18,2009,Base espumante,335850,Espumante,Base,2,False
19,2009,Base espumante moscatel,442150,Espumante,Base,2,False
20,2009,Base Champenoise champanha,0,Espumante,Base,2,False
21,2009,Base Charmat champanha,0,Espumante,Base,2,False
22,2009,Bebida de uva,420,Suco,Suco de Uva,3,False
23,2009,Polpa de uva,1352417,Suco,Suco de Uva,3,False
24,2009,Mosto simples,53418555,Mosto,Intermediario,2,False
25,2009,Mosto concentrado,0,Mosto,Intermediario,2,False
26,2009,Mosto de uva com bagaço,0,Mosto,Intermediario,2,False
27,2009,Mosto dessulfitado,0,Mosto,Intermediario,2,False
28,2009,Mistelas,3500,Mosto,Intermediario,2,False
29,2009,Néctar de uva,0,Suco,Suco de Uva,3,False
30,2009,Licorosos,38000,Vinho,Produto Final,3,False
31,2009,Compostos,0,Derivados,Derivados Industriais,2,False
32,2009,Jeropiga,0,Mosto,Intermediario,2,False
33,2009,Filtrado,0,Derivados,Derivados Industriais,2,False
34,2009,Frisante,0,Espumante,Produto Final,3,False
35,2009,Vinho leve,0,Vinho,Produto Final,3,False
36,2009,Vinho licoroso,0,Vinho,Produto Final,3,False
37,2009,Brandy,0,Destilado,Produto Final,3,False
38,2009,Destilado,0,Destilado,Produto Final,3,False
39,2009,Bagaceira,6500,Destilado,Produto Final,3,False
40,2009,Licor de bagaceira,0,Destilado,Produto Final,3,False
41,2009,Vinagre,0,Derivados,Vinagre,3,False
42,2009,Borra líquida,0,Derivados,Derivados Industriais,2,False
43,2009,Borra seca,0,Derivados,Derivados Industriais,2,False
44,2009,Vinho Composto,0,Vinho,Produto Final,3,False
45,2009,Pisco,0,Destilado,Produto Final,3,False
46,2009,Vinho orgânico,0,Vinho,Organico,3,False
47,2009,Espumante orgânico,0,Espumante,Produto Final,3,False
48,2009,Destilado alcoólico simples de bagaceira ,0,Destilado,Produto Final,3,False
49,2009,Vinho acidificado ,0,Vinho,Produto Final,3,False
50,2009,Mosto parcialmente fermentado ,0,Mosto,Intermediario,2,False
51,2009,Outros derivados,0,Derivados,Derivados Industriais,2,False
1,2010,VINHO DE MESA,195267980,Vinho,Vinho de Mesa,1,True
2,2010,Tinto,157290088,Vinho,Vinho de Mesa,3,False
3,2010,Branco,35408083,Vinho,Vinho de Mesa,3,False
4,2010,Rosado,2569809,Vinho,Vinho de Mesa,3,False
5,2010,VINHO FINO DE MESA (VINIFERA),24805713,Vinho,Vinifera,1,True
6,2010,Tinto,11401406,Vinho,Vinho de Mesa,3,False
7,2010,Branco,13013027,Vinho,Vinho de Mesa,3,False
8,2010,Rosado,391280,Vinho,Vinho de Mesa,3,False
9,2010,SUCO,50125944,Suco,Suco de Uva,1,True
10,2010,Suco de uva integral,26887259,Suco,Suco de Uva,3,False
11,2010,Suco de uva concentrado,23238685,Suco,Suco de Uva,3,False
12,2010,Suco de uva adoçado,0,Suco,Suco de Uva,3,False
13,2010,Suco de uva orgânico,0,Suco,Suco de Uva,3,False
14,2010,Suco de uva reconstituído,0,Suco,Suco de Uva,3,False
15,2010,DERIVADOS,51210756,Derivados,Derivados Industriais,1,True
16,2010,Espumante,10125,Espumante,Produto Final,3,False
17,2010,Espumante moscatel,703393,Espumante,Produto Final,3,False
18,2010,Base espumante,0,Espumante,Base,2,False
19,2010,Base espumante moscatel,1144508,Espumante,Base,2,False
20,2010,Base Champenoise champanha,92082,Espumante,Base,2,False
21,2010,Base Charmat champanha,254000,Espumante,Base,2,False
22,2010,Bebida de uva,7900,Suco,Suco de Uva,3,False
23,2010,Polpa de uva,1951606,Suco,Suco de Uva,3,False
24,2010,Mosto simples,45912040,Mosto,Intermediario,2,False
25,2010,Mosto concentrado,0,Mosto,Intermediario,2,False
26,2010,Mosto de uva com bagaço,0,Mosto,Intermediario,2,False
27,2010,Mosto dessulfitado,0,Mosto,Intermediario,2,False
28,2010,Mistelas,0,Mosto,Intermediario,2,False
29,2010,Néctar de uva,0,Suco,Suco de Uva,3,False
30,2010,Licorosos,0,Vinho,Produto Final,3,False
31,2010,Compostos,0,Derivados,Derivados Industriais,2,False
32,2010,Jeropiga,69000,Mosto,Intermediario,2,False
33,2010,Filtrado,0,Derivados,Derivados Industriais,2,False
